segment_name,segment_id,point_index,longitude,latitude,plate1,plate2,boundary_type
AM-EU,102,66,117.01,40.0571,AM,EU,:CRB*
AM-EU,102,67,117.638,39.8433,AM,EU,:CRB*
AM-EU,102,68,118.245,40.0536,AM,EU,:CRB*
AM-EU,102,69,118.856,40.2608,AM,EU,:CRB*
AM-EU,102,70,119.846,40.6543,AM,EU,:CRB*
AM-EU,102,71,120.848,41.0392,AM,EU,:CRB*
AM-EU,102,72,121.313,41.3292,AM,EU,:CRB*
AM-EU,102,73,121.782,41.6173,AM,EU,:CRB*
AM-EU,102,74,122.255,41.9035,AM,EU,:CRB*
AM-EU,102,75,122.732,42.1878,AM,EU,:CRB*
AM-EU,102,76,123.51,41.5302,AM,EU,:CRB*
AM-EU,102,77,124.272,40.8675,AM,EU,:CRB*
AM-EU,102,78,125.019,40.1999,AM,EU,:CRB*
AM-EU,102,79,125.199,39.7415,AM,EU,:CRB*
AM-EU,102,80,125.376,39.2829,AM,EU,:CRB*
AM-EU,102,81,125.551,38.824,AM,EU,:CRB*
AM-EU,102,82,125.723,38.3648,AM,EU,:CRB*
AM-EU,102,83,125.914,37.5413,AM,EU,:CRB*
AM-EU,102,84,126.101,36.7175,AM,EU,:CRB*
AM-EU,102,85,126.115,36.1691,AM,EU,:CRB*
AM-EU,102,86,126.128,35.6207,AM,EU,:CRB*
AM-EU,102,87,126.196,34.9364,AM,EU,:CRB*
AM-EU,102,88,126.263,34.2521,AM,EU,:CRB*
EU-SU,103,0,96.4803,14.4,EU,SU,:CCB*
EU-SU,103,1,97.39,14.4188,EU,SU,:CCB*
EU-SU,103,2,98.2999,14.434,EU,SU,:CCB*
EU-SU,103,3,99.2098,14.4458,EU,SU,:CCB*
EU-SU,103,4,99.766,14.8381,EU,SU,:CCB*
EU-SU,103,5,100.297,15.4616,EU,SU,:CCB*
EU-SU,103,6,100.832,16.0838,EU,SU,:CCB*
EU-SU,103,7,101.141,16.5753,EU,SU,:CCB*
EU-SU,103,8,101.451,17.0663,EU,SU,:CCB*
EU-SU,103,9,102.032,17.3503,EU,SU,:CCB*
EU-SU,103,10,102.615,17.6327,EU,SU,:CCB*
EU-SU,103,11,103.18,17.6596,EU,SU,:CCB*
