longitude latitude
121.210000 19.130000
121.050000 12.260000
121.080000 12.260000
126.650000 2.230000
137.900000 8.940000
128.090000 2.730000
125.690000 6.540000
126.670000 5.320000
124.000000 6.790000
127.030000 3.140000
122.000000 19.960000
128.340000 2.400000
126.430000 1.710000
121.580000 23.880000
123.220000 8.100000
119.860000 14.900000
125.550000 10.150000
120.570000 13.720000
125.780000 4.760000
126.310000 8.740000
124.750000 1.570000
127.120000 8.590000
126.780000 7.580000
138.880000 35.380000
126.080000 10.110000
130.150000 28.720000
126.570000 4.170000
126.740000 4.200000
121.750000 21.830000
126.750000 7.370000
122.130000 11.380000
126.450000 1.520000
125.810000 2.110000
124.550000 12.320000
126.350000 8.270000
126.870000 1.900000
126.530000 1.550000
125.320000 1.670000
128.420000 27.400000
124.560000 13.490000
121.410000 20.080000
131.610000 29.420000
126.820000 2.260000
126.740000 2.440000
126.670000 2.400000
126.780000 2.370000
126.720000 2.370000
126.840000 2.410000
126.770000 2.330000
126.910000 4.960000
126.670000 2.570000
126.370000 0.450000
126.700000 2.340000
124.370000 14.120000
127.970000 2.290000
127.870000 2.290000
127.900000 2.230000
125.890000 4.610000
126.240000 1.010000
126.810000 2.410000
126.650000 1.520000
125.180000 24.250000
121.100000 19.300000
120.020000 0.960000
126.460000 2.970000
126.720000 0.010000
122.280000 24.090000
127.240000 1.580000
126.930000 7.690000
126.730000 2.540000
126.560000 2.530000
125.800000 5.680000
125.600000 5.860000
126.610000 4.080000
126.710000 7.970000
128.190000 2.330000
126.120000 0.990000
120.870000 12.060000
128.250000 1.890000
126.270000 1.020000
124.360000 5.900000
124.530000 5.930000
124.370000 5.990000
126.880000 0.800000
125.740000 8.680000
127.130000 5.660000
125.280000 25.550000
127.370000 4.260000
126.040000 0.970000
127.320000 1.690000
126.540000 9.990000
122.030000 22.610000
134.920000 33.300000
126.920000 10.520000
125.530000 12.110000
139.540000 34.750000
121.220000 19.140000
126.540000 2.080000
126.900000 8.110000
121.400000 0.580000
128.150000 2.500000
126.650000 5.710000
126.450000 9.020000
126.550000 10.130000
129.390000 27.990000
126.040000 0.980000
125.000000 6.120000
126.510000 10.070000
123.460000 0.180000
126.780000 8.390000
127.040000 7.970000
126.980000 8.170000
127.010000 8.350000
126.880000 8.560000
126.890000 7.910000
126.930000 7.980000
126.880000 8.130000
126.940000 8.200000
127.180000 1.690000
127.440000 8.330000
126.460000 4.980000
125.040000 12.660000
121.360000 19.060000
119.460000 14.580000
126.980000 7.950000
126.770000 8.240000
124.710000 9.690000
124.640000 9.730000
131.020000 30.590000
126.720000 3.510000
122.620000 4.590000
127.430000 7.890000
125.550000 9.250000
126.670000 7.990000
122.840000 1.160000
123.050000 1.280000
123.060000 1.280000
123.670000 1.460000
123.480000 1.120000
123.270000 1.220000
120.040000 0.960000
122.760000 1.060000
123.610000 1.450000
126.110000 8.800000
124.270000 0.030000
123.590000 1.290000
123.780000 1.110000
127.810000 26.610000
123.360000 1.330000
120.260000 15.970000
122.710000 0.990000
139.070000 35.410000
123.260000 1.240000
138.200000 9.470000
126.390000 6.390000
122.170000 11.330000
122.240000 11.270000
125.640000 3.870000
125.600000 4.460000
123.050000 1.230000
124.190000 0.000000
121.460000 1.050000
120.650000 12.190000
121.760000 24.240000
120.550000 16.350000
120.980000 16.220000
120.860000 16.370000
121.020000 16.410000
120.990000 16.460000
125.350000 0.480000
126.920000 0.930000
120.970000 16.340000
121.050000 16.420000
120.620000 16.620000
119.690000 16.050000
123.120000 1.270000
139.040000 35.090000
126.160000 0.310000
124.530000 3.580000
126.020000 0.490000
126.430000 8.470000
123.000000 1.120000
126.410000 6.330000
119.280000 15.350000
125.230000 24.240000
126.500000 8.300000
123.200000 3.750000
125.250000 5.630000
121.750000 24.150000
126.970000 0.160000
125.760000 5.620000
123.940000 1.040000
123.980000 1.050000
121.670000 24.030000
123.980000 1.120000
121.690000 23.740000
121.660000 23.580000
121.730000 23.560000
123.160000 1.400000
123.170000 1.270000
121.570000 23.750000
121.630000 23.640000
124.090000 1.120000
121.580000 23.780000
125.880000 5.690000
139.590000 11.270000
126.830000 1.990000
121.360000 23.700000
126.740000 2.260000
125.730000 10.470000
126.160000 0.490000
126.180000 1.520000
128.080000 1.850000
126.600000 8.820000
126.500000 9.150000
126.580000 9.020000
122.120000 8.190000
124.760000 0.260000
121.820000 21.640000
127.920000 4.050000
128.510000 2.660000
126.790000 9.000000
126.820000 9.060000
126.570000 7.490000
125.240000 5.610000
125.260000 10.290000
125.290000 10.320000
123.440000 1.390000
122.900000 1.080000
116.760000 5.790000
125.250000 10.350000
128.580000 2.420000
126.170000 7.970000
120.510000 15.250000
120.400000 15.110000
125.880000 10.060000
120.450000 15.200000
122.760000 1.170000
126.840000 2.420000
123.000000 1.100000
128.450000 3.010000
125.890000 5.820000
120.590000 0.990000
131.200000 30.030000
122.590000 0.930000
122.950000 1.630000
122.700000 1.390000
127.950000 3.160000
133.230000 35.320000
138.780000 33.650000
120.440000 15.170000
121.450000 22.460000
127.750000 2.440000
122.190000 7.840000
122.090000 1.250000
126.430000 8.350000
126.880000 3.650000
126.620000 3.450000
126.800000 5.740000
124.870000 7.510000
127.140000 1.620000
124.060000 9.270000
127.510000 2.380000
127.330000 1.390000
121.860000 21.140000
128.380000 2.080000
126.810000 1.990000
121.030000 19.400000
123.630000 23.530000
120.830000 17.160000
126.940000 3.590000
125.990000 5.330000
122.550000 1.160000
121.540000 23.790000
122.960000 2.410000
124.010000 5.660000
124.010000 8.930000
125.070000 10.310000
124.770000 6.660000
124.730000 6.670000
126.750000 7.260000
126.860000 7.170000
125.540000 12.520000
122.560000 11.030000
128.110000 2.270000
121.400000 23.110000
127.240000 7.550000
127.510000 1.810000
123.970000 1.070000
127.030000 3.670000
124.170000 1.110000
124.090000 1.070000
124.140000 1.090000
126.870000 11.040000
125.830000 2.560000
139.050000 34.130000
127.030000 7.290000
126.890000 1.570000
127.050000 7.390000
122.000000 3.120000
123.210000 1.310000
126.980000 1.660000
126.970000 1.630000
126.290000 10.090000
122.330000 24.480000
126.510000 4.020000
121.630000 24.000000
124.200000 5.930000
128.630000 1.310000
121.630000 23.690000
126.480000 4.100000
123.340000 1.000000
123.440000 1.340000
129.110000 1.220000
129.270000 1.250000
122.630000 24.110000
124.060000 6.820000
127.260000 1.740000
131.460000 31.130000
128.560000 2.490000
128.510000 2.540000
128.720000 2.500000
128.760000 2.590000
