event_id,year,longitude,latitude,depth,magnitude,mb,ms,strike1,dip1,rake1,distance_to_boundary,boundary_type,plate1,plate2,segment_id,relative_velocity,movement_direction,convergence_rate,transform_rate,extension_rate,boundary_motion_type,grid_cell,is_near_boundary,fault_type,fault_type_code
B061578D,1978,141.8,37.97,42.0,5.4,5.4,5.4,73.0,301.0,113.0,1.944406428707735,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,321_127,0,reverse,1
B061678B,1978,143.26,38.17,34.0,5.6,5.5,5.6,56.0,325.0,117.0,0.6680151570136778,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,323_128,1,reverse,1
B062178B,1978,141.76,38.33,52.0,5.7,5.7,0.0,70.0,304.0,102.0,2.1459116966921137,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,321_128,0,reverse,1
B062178A,1978,148.61,48.31,377.0,5.9,5.9,0.0,44.0,121.0,253.0,4.470488984440069,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,328_138,0,normal,2
B062778C,1978,142.8,37.15,35.0,5.7,5.7,5.6,59.0,315.0,120.0,0.6734479638397984,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,322_127,1,reverse,1
B070478A,1978,131.12,32.66,118.0,5.7,5.7,0.0,43.0,252.0,158.0,0.7353729733951301,:CRB,AM,ON,155,0.0,0.0,0.0,0.0,0.0,unknown,311_122,1,strike-slip,0
B071078A,1978,150.11,48.79,342.0,5.1,5.1,0.0,25.0,123.0,291.0,4.210846679707059,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,330_138,0,normal,2
B071578A,1978,141.67,33.33,14.0,5.3,5.3,4.8,86.0,297.0,92.0,0.35067114224014634,:OCB,PS,CL,79,2.0916230203419612,141.55531605891932,0.6274869061025884,1.0458115101709806,0.4183246040683923,transform,321_123,1,reverse,1
B071578B,1978,142.53,41.87,62.0,5.4,5.4,0.0,69.0,291.0,118.0,2.1790605774048637,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,322_131,0,reverse,1
B071878B,1978,137.1,30.4,492.0,4.9,4.9,0.0,14.0,336.0,231.0,2.52614746204571,:OSR,NZ,PA,74,0.0,0.0,0.0,0.0,0.0,unknown,317_120,0,normal,2
B072078B,1978,175.14,51.13,33.0,5.2,5.2,4.6,5.0,53.0,323.0,0.43155097033839496,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,355_141,1,normal,2
B081478D,1978,156.28,49.87,86.0,5.8,5.8,0.0,30.0,340.0,137.0,1.4209462903290886,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,336_139,0,reverse,1
B082378B,1978,176.43,51.74,54.0,5.4,5.4,4.8,67.0,308.0,166.0,0.8925272040671943,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,356_141,1,strike-slip,0
B090378A,1978,154.36,49.45,109.0,5.5,5.5,0.0,47.0,150.0,311.0,2.210639988781515,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,334_139,0,normal,2
B091578A,1978,154.28,48.25,44.0,6.0,6.0,5.7,83.0,270.0,121.0,1.3096164476670211,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,334_138,0,reverse,1
B092878B,1978,159.79,51.26,33.0,5.5,4.8,5.5,76.0,326.0,129.0,0.4141412923145931,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,339_141,1,reverse,1
B100478A,1978,151.72,46.27,115.0,5.7,5.7,0.0,23.0,302.0,211.0,1.2279388258378399,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,331_136,0,normal,2
B100478C,1978,173.53,50.93,33.0,5.3,5.3,5.0,2.0,211.0,113.0,0.8357332110189168,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,353_140,1,reverse,1
B100878B,1978,137.14,36.02,250.0,5.3,5.3,0.0,39.0,234.0,55.0,0.8081700378014672,:CCB,OK,AM,101,0.5089624469801146,81.313064212097,0.15268873409403438,0.2544812234900573,0.10179248939602292,transform,317_126,1,reverse,1
B101178A,1978,140.79,33.42,57.0,5.9,5.9,0.0,62.0,180.0,83.0,1.0661862923523278,CCB,OK,PS,75,1.898454863741677,115.41793269730479,0.5695364591225031,0.9492274318708385,0.3796909727483354,transform,320_123,0,reverse,1
B101878A,1978,143.91,41.21,33.0,5.5,5.5,5.1,14.0,25.0,182.0,0.6539915901600049,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,323_131,1,strike-slip,0
B102178A,1978,135.47,41.23,359.0,5.1,5.1,0.0,69.0,96.0,297.0,2.995631067070842,:CCB,OK,AM,101,0.484224493231328,76.91514288317848,0.14526734796939839,0.242112246615664,0.09684489864626561,transform,315_131,0,normal,2
B102878A,1978,155.69,50.25,135.0,5.5,5.5,0.0,56.0,317.0,129.0,2.0759490263491576,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,335_140,0,reverse,1
B102878B,1978,144.22,42.68,82.0,5.1,5.1,0.0,55.0,22.0,251.0,1.6081746298210255,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,324_132,0,normal,2
B110678A,1978,142.98,42.23,63.0,5.3,5.3,0.0,65.0,282.0,122.0,2.0212285867758846,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,322_132,0,reverse,1
B111578A,1978,146.57,47.89,29.0,5.9,5.9,4.9,89.0,86.0,202.0,3.780583150785082,:CCB,OK,AM,101,0.4264367713791959,67.63831655598631,0.12793103141375875,0.21321838568959794,0.08528735427583918,transform,326_137,0,strike-slip,0
